# DNS of a turbulent zero-pressure gradient boundary layer
# Reference: Schlatter et al., Phys. Fluids 21, 051702 (2009)
#  
# Integral quantities:
# Re_{\theta}   =       1000.490
# Re_{\delta^*} =       1467.762
# Re_{\tau}     =       365.4094
# H_{12}        =       1.467043
# c_f           =    0.004258940
# 
# Wall-normal profiles:
# y/\delta_{99}       y+          U+          urms+       vrms+       wrms+       uv+         prms+       pu+         pv+
    3.3738721   1232.8444573  21.6545527   0.0062607   0.0077704   0.0026307  -0.0000016   0.1214616  -0.0001746   0.0000580
    3.4030708   1243.5139375  21.6548125   0.0061199   0.0076375   0.0025724  -0.0000015   0.1212852  -0.0001674   0.0000561
    3.4322079   1254.1609125  21.6550689   0.0059813   0.0075098   0.0025157  -0.0000015   0.1211179  -0.0001605   0.0000543
    3.4612803   1264.7842146  21.6553231   0.0058484   0.0073869   0.0024623  -0.0000015   0.1209555  -0.0001540   0.0000525
    3.4902846   1275.3826789  21.6555740   0.0057175   0.0072688   0.0024102  -0.0000014   0.1208014  -0.0001478   0.0000509
    3.5192178   1285.9551431  21.6558226   0.0055918   0.0071551   0.0023611  -0.0000014   0.1206519  -0.0001419   0.0000492
    3.5480767   1296.5004480  21.6560680   0.0054679   0.0070457   0.0023131  -0.0000014   0.1205098  -0.0001361   0.0000477
    3.5768581   1307.0174370  21.6563112   0.0053489   0.0069404   0.0022678  -0.0000014   0.1203719  -0.0001307   0.0000462
    3.6055588   1317.5049568  21.6565512   0.0052314   0.0068390   0.0022235  -0.0000014   0.1202408  -0.0001255   0.0000448
    3.6341758   1327.9618575  21.6567890   0.0051184   0.0067415   0.0021814  -0.0000013   0.1201137  -0.0001206   0.0000435
    3.6627058   1338.3869921  21.6570237   0.0050068   0.0066476   0.0021403  -0.0000013   0.1199926  -0.0001158   0.0000422
    3.6911458   1348.7792177  21.6572563   0.0048995   0.0065572   0.0021011  -0.0000013   0.1198752  -0.0001113   0.0000409
    3.7194925   1359.1373944  21.6574857   0.0047933   0.0064702   0.0020627  -0.0000013   0.1197632  -0.0001070   0.0000397
    3.7477430   1369.4603864  21.6577131   0.0046911   0.0063863   0.0020259  -0.0000012   0.1196548  -0.0001028   0.0000386
    3.7758941   1379.7470617  21.6579375   0.0045899   0.0063056   0.0019899  -0.0000012   0.1195513  -0.0000988   0.0000374
    3.8039427   1389.9962923  21.6581598   0.0044925   0.0062279   0.0019553  -0.0000012   0.1194510  -0.0000950   0.0000364
    3.8318858   1400.2069541  21.6583791   0.0043959   0.0061531   0.0019213  -0.0000012   0.1193552  -0.0000913   0.0000353
    3.8597203   1410.3779275  21.6585965   0.0043029   0.0060810   0.0018886  -0.0000012   0.1192625  -0.0000879   0.0000343
    3.8874431   1420.5080971  21.6588108   0.0042106   0.0060115   0.0018563  -0.0000011   0.1191738  -0.0000845   0.0000333
    3.9150512   1430.5963520  21.6590233   0.0041216   0.0059446   0.0018251  -0.0000011   0.1190881  -0.0000813   0.0000324
    3.9425415   1440.6415860  21.6592328   0.0040332   0.0058802   0.0017944  -0.0000011   0.1190058  -0.0000781   0.0000315
    3.9699111   1450.6426974  21.6594405   0.0039480   0.0058182   0.0017645  -0.0000011   0.1189264  -0.0000752   0.0000306
    3.9971570   1460.5985895  21.6596453   0.0038633   0.0057584   0.0017350  -0.0000011   0.1188502  -0.0000723   0.0000298
    4.0242761   1470.5081706  21.6598482   0.0037815   0.0057008   0.0017062  -0.0000011   0.1187767  -0.0000696   0.0000290
    4.0512655   1480.3703540  21.6600483   0.0037003   0.0056454   0.0016778  -0.0000010   0.1187059  -0.0000669   0.0000282
    4.0781223   1490.1840580  21.6602466   0.0036218   0.0055920   0.0016500  -0.0000010   0.1186378  -0.0000644   0.0000274
    4.1048434   1499.9482067  21.6604421   0.0035437   0.0055405   0.0016225  -0.0000010   0.1185721  -0.0000619   0.0000267
    4.1314260   1509.6617292  21.6606359   0.0034682   0.0054909   0.0015954  -0.0000010   0.1185091  -0.0000596   0.0000259
    4.1578671   1519.3235603  21.6608269   0.0033931   0.0054432   0.0015687  -0.0000010   0.1184480  -0.0000573   0.0000252
    4.1841638   1528.9326405  21.6610162   0.0033204   0.0053972   0.0015423  -0.0000009   0.1183895  -0.0000551   0.0000246
    4.2103134   1538.4879160  21.6612028   0.0032481   0.0053529   0.0015162  -0.0000009   0.1183328  -0.0000530   0.0000239
    4.2363127   1547.9883391  21.6613876   0.0031780   0.0053102   0.0014903  -0.0000009   0.1182786  -0.0000510   0.0000233
    4.2621592   1557.4328678  21.6615699   0.0031083   0.0052692   0.0014648  -0.0000009   0.1182258  -0.0000490   0.0000226
    4.2878498   1566.8204665  21.6617505   0.0030407   0.0052296   0.0014394  -0.0000009   0.1181755  -0.0000472   0.0000220
    4.3133818   1576.1501057  21.6619284   0.0029735   0.0051915   0.0014143  -0.0000009   0.1181264  -0.0000453   0.0000214
    4.3387524   1585.4207624  21.6621048   0.0029082   0.0051548   0.0013893  -0.0000008   0.1180798  -0.0000436   0.0000209
